# -----------------------------------------------------------------
# Predicted Spectra of IBD Events
# Tabulated Huber 235U reconstructed visible energy spectrum and 
# HFIR-specific components: 28Al, 6He, and Non-equilibrium isotopes). 
# Reactor Exposure: 6991 MW-days
# Data are reported in 32 200keV wide bins from 0.8MeV to 7.2MeV
# -----------------------------------------------------------------

# Bin Center, Combined Counts/bin, Huber U235, 28Al, 6He, Non-Equilibrium
0.900, 1407.144, 1296.529, 68.587, 11.240, 30.788 
1.100, 1847.229, 1713.210, 81.445, 15.572, 37.003 
1.300, 2218.956, 2087.162, 75.540, 18.876, 37.378 
1.500, 2513.984, 2406.973, 53.216, 20.577, 33.218 
1.700, 2745.892, 2672.001, 26.513, 20.124, 27.254 
1.900, 2927.167, 2880.768, 7.313, 16.898, 22.188 
2.100, 3043.639, 3012.914, 0.869, 11.266, 18.589 
2.300, 3088.362, 3068.173, 0.024, 5.284, 14.881 
2.500, 3039.944, 3028.642, 0.000, 1.173, 10.129 
2.700, 2945.031, 2939.589, 0.000, 0.062, 5.380 
2.900, 2813.265, 2811.307, 0.000, 0.000, 1.958 
3.100, 2641.911, 2641.585, 0.000, 0.000, 0.326 
3.300, 2451.488, 2451.474, 0.000, 0.000, 0.014 
3.500, 2243.612, 2243.612, 0.000, 0.000, 0.000 
3.700, 2052.134, 2052.134, 0.000, 0.000, 0.000 
3.900, 1865.171, 1865.171, 0.000, 0.000, 0.000 
4.100, 1681.711, 1681.711, 0.000, 0.000, 0.000 
4.300, 1493.962, 1493.962, 0.000, 0.000, 0.000 
4.500, 1320.229, 1320.229, 0.000, 0.000, 0.000 
4.700, 1157.588, 1157.588, 0.000, 0.000, 0.000 
4.900, 1003.604, 1003.604, 0.000, 0.000, 0.000 
5.100, 860.720, 860.720, 0.000, 0.000, 0.000 
5.300, 729.906, 729.906, 0.000, 0.000, 0.000 
5.500, 612.632, 612.632, 0.000, 0.000, 0.000 
5.700, 501.313, 501.313, 0.000, 0.000, 0.000 
5.900, 398.037, 398.037, 0.000, 0.000, 0.000 
6.100, 306.124, 306.124, 0.000, 0.000, 0.000 
6.300, 229.189, 229.189, 0.000, 0.000, 0.000 
6.500, 168.361, 168.361, 0.000, 0.000, 0.000 
6.700, 119.332, 119.332, 0.000, 0.000, 0.000 
6.900, 80.826, 80.826, 0.000, 0.000, 0.000 
7.100, 51.061, 51.061, 0.000, 0.000, 0.000 
